序号,件号,名称,中文材料,英文材料,装配处,页数,图纸,任务分配,发动机类型,,级别,,部件,,零件类型,,,零件图纸号,文件夹名称,页号,版本号,文件名称,产品序号,新编号
142,45.317,C形密封环,GH4145,-0.2-YJ0354,,1,A4,孙经雨,涡轴,2,400kW,01,自由涡轮,06,垫片,013,20106013,003,20106013003,01,01,201060130030101,00001,20106013003010100001
143,45.318,C形环间隔垫,板0Cr16Ni5Mo1,,,1,A3,孙经雨,涡轴,2,400kW,01,自由涡轮,06,垫片,013,20106013,004,20106013004,01,01,201060130040101,00001,20106013004010100001
144,45.319,垫套,棒GH4169,HB 6702-1993,,1,A4,孙经雨,涡轴,2,400kW,01,自由涡轮,06,垫片,013,20106013,005,20106013005,01,01,201060130050101,00001,20106013005010100001
145,45.800,自由涡轮转子组件,,,,1,A1,孙经雨,涡轴,2,400kW,01,自由涡轮,06,装配,900,20106900,001,20106901000,01,01,201069010000101,00001,20106901000010100001
146,45.801,自由涡轮轴组件,,,,1,A1,孙经雨,涡轴,2,400kW,01,自由涡轮,06,装配,900,20106900,002,20106902000,01,01,201069020000101,00001,20106902000010100001
147,45.811,自由涡轮后轴承支座组件,,,,1,A3,孙经雨,涡轴,2,400kW,01,自由涡轮,06,装配,900,20106900,003,20106903000,01,01,201069030000101,00001,20106903000010100001
148,45.812,轴承安装座组件,,,,1,A2,孙经雨,涡轴,2,400kW,01,自由涡轮,06,装配,900,20106900,004,20106904000,01,01,201069040000101,00001,20106904000010100001
149,45.813,封严环组件,,,,1,A3,孙经雨,涡轴,2,400kW,01,自由涡轮,06,装配,900,20106900,005,20106905000,01,01,201069050000101,00001,20106905000010100001
150,45.814,滑油喷嘴组件,,,,1,A4,孙经雨,涡轴,2,400kW,01,自由涡轮,06,装配,900,20106900,006,20106906000,01,01,201069060000101,00001,20106906000010100001
151,45.815,滑油进、回油管组件,,,,1,A0,孙经雨,涡轴,2,400kW,01,自由涡轮,06,装配,900,20106900,007,20106907000,01,01,201069070000101,00001,20106907000010100001
152,55.106,铆钉,,,,1,A4,庞科技,涡轴,,,,,,,,,,,,,,,
153,55.810,排气管组件,,,,0,A1,庞科技,涡轴,,,,,,,,,,,,,,,
154,94.011,连接支板,,,,1,A3,庞科技,涡轴,,,,,,,,,,,,,,,
155,94.012,衬套,,,,1,A3,庞科技,涡轴,,,,,,,,,,,,,,,
156,94.301,M02标牌,,,,1,A4,庞科技,涡轴,,,,,,,,,,,,,,,
157,94.302,M02标牌安装座,,,,1,A3,庞科技,涡轴,,,,,,,,,,,,,,,
158,94.303,标牌铆钉,,,,1,A4,庞科技,涡轴,,,,,,,,,,,,,,,
159,94.801,发动机下安装支架,,,,1,A3,庞科技,涡轴,,,,,,,,,,,,,,,
